distances_classical,distances_Hx,distances_Hz,distances_quantum,logical_error_rates,max_row_weight_H,max_row_weight_HT,k_classical,k_classical_T,k_quantum
8,8,8,8,0.00528,5,3,7,0,49
8,10,10,10,0.00318,5,3,7,0,49
8,8,8,8,0.00377,5,3,7,0,49
10,10,10,10,0.00287,5,3,7,0,49
6,8,10,8,0.01103,5,3,7,0,49
8,10,10,10,0.00377,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
6,8,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00451,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,10,8,8,0.0034,5,3,7,0,49
10,10,10,10,0.00292,5,3,7,0,49
10,10,10,10,0.00253,5,3,7,0,49
8,8,8,8,0.00333,5,3,7,0,49
10,10,10,10,0.00255,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
8,10,10,10,0.00319,5,3,7,0,49
8,10,10,10,0.00422,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.01075,5,3,7,0,49
8,8,8,8,0.00472,5,3,7,0,49
4,7,7,7,0.0,5,3,7,0,49
6,10,10,10,0.0115,5,3,7,0,49
8,8,10,8,0.00455,5,3,7,0,49
8,8,8,8,0.00425,5,3,7,0,49
8,10,10,10,0.00344,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
10,10,10,10,0.00285,5,3,7,0,49
8,10,10,10,0.00376,5,3,7,0,49
9,9,9,9,0.00296,5,3,7,0,49
6,10,10,10,0.01039,5,3,7,0,49
6,10,10,10,0.01056,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,10,6,0.0,5,3,7,0,49
10,10,10,10,0.00328,5,3,7,0,49
8,8,10,8,0.00322,5,3,7,0,49
9,9,9,9,0.00326,5,3,7,0,49
8,10,10,10,0.00376,5,3,7,0,49
10,10,10,10,0.00304,5,3,7,0,49
10,10,10,10,0.00301,5,3,7,0,49
10,10,10,10,0.00271,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
8,10,8,8,0.00497,5,3,7,0,49
10,10,10,10,0.00259,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00282,5,3,7,0,49
8,8,10,8,0.00451,5,3,7,0,49
10,10,10,10,0.00283,5,3,7,0,49
10,10,10,10,0.00285,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
9,11,10,10,0.00286,5,3,7,0,49
10,10,10,10,0.00279,5,3,7,0,49
8,8,8,8,0.00437,5,3,7,0,49
10,10,10,10,0.00337,5,3,7,0,49
8,8,8,8,0.00426,5,3,7,0,49
8,10,10,10,0.00394,5,3,7,0,49
8,10,10,10,0.00475,5,3,7,0,49
8,7,10,7,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
6,10,10,10,0.01119,5,3,7,0,49
10,10,10,10,0.00255,5,3,7,0,49
10,10,10,10,0.00338,5,3,7,0,49
8,8,8,8,0.00516,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00252,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00229,5,3,7,0,49
6,8,8,8,0.01147,5,3,7,0,49
8,8,8,8,0.00475,5,3,7,0,49
10,10,10,10,0.00305,5,3,7,0,49
8,10,10,10,0.00348,5,3,7,0,49
6,8,8,8,0.01178,5,3,7,0,49
8,8,8,8,0.0046,5,3,7,0,49
8,10,8,8,0.00361,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.01082,5,3,7,0,49
10,10,10,10,0.0038,5,3,7,0,49
4,10,10,10,0.07627,5,3,7,0,49
8,10,10,10,0.0041,5,3,7,0,49
8,8,8,8,0.0034,5,3,7,0,49
8,8,8,8,0.00451,5,3,7,0,49
8,10,10,10,0.00356,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00588,5,3,7,0,49
10,8,10,8,0.00294,5,3,7,0,49
8,8,10,8,0.00432,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
8,10,10,10,0.0035,5,3,7,0,49
8,10,10,10,0.00425,5,3,7,0,49
8,10,10,10,0.00445,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00575,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00367,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
8,8,10,8,0.00379,5,3,7,0,49
8,8,8,8,0.0041,5,3,7,0,49
2,2,2,2,0.0,5,3,7,0,49
8,8,8,8,0.00382,5,3,7,0,49
8,8,8,8,0.00414,5,3,7,0,49
6,6,10,6,0.0,5,3,7,0,49
10,10,10,10,0.00241,5,3,7,0,49
10,10,10,10,0.00298,5,3,7,0,49
10,10,10,10,0.0024,5,3,7,0,49
3,3,3,3,0.0,5,3,7,0,49
8,8,8,8,0.00364,5,3,7,0,49
8,8,8,8,0.00398,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00248,5,3,7,0,49
10,10,10,10,0.00229,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
8,8,8,8,0.00425,5,3,7,0,49
8,8,8,8,0.00387,5,3,7,0,49
8,10,8,8,0.00353,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00383,5,3,7,0,49
6,6,10,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.01112,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
9,10,9,9,0.00283,5,3,7,0,49
8,8,8,8,0.0048,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
10,10,7,7,0.0,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
10,10,10,10,0.00256,5,3,7,0,49
8,10,10,10,0.00419,5,3,7,0,49
5,5,5,5,0.0,5,3,7,0,49
8,8,8,8,0.00409,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
10,10,10,10,0.00274,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
5,8,8,8,0.01166,5,3,7,0,49
8,8,8,8,0.00357,5,3,7,0,49
6,10,10,10,0.01125,5,3,7,0,49
8,12,10,10,0.0035,5,3,7,0,49
8,10,10,10,0.00428,5,3,7,0,49
10,10,10,10,0.00298,5,3,7,0,49
8,10,10,10,0.003,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00234,5,3,7,0,49
8,10,10,10,0.00395,5,3,7,0,49
10,10,10,10,0.00294,5,3,7,0,49
8,8,8,8,0.00447,5,3,7,0,49
10,7,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00308,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,8,7,7,0.0,5,3,7,0,49
6,10,8,8,0.01118,5,3,7,0,49
8,8,8,8,0.00388,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
8,8,8,8,0.00325,5,3,7,0,49
8,10,10,10,0.00373,5,3,7,0,49
8,8,8,8,0.00358,5,3,7,0,49
8,10,10,10,0.00426,5,3,7,0,49
10,10,10,10,0.00234,5,3,7,0,49
8,8,8,8,0.00431,5,3,7,0,49
8,10,10,10,0.00414,5,3,7,0,49
10,10,10,10,0.00246,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
8,8,8,8,0.00455,5,3,7,0,49
8,8,8,8,0.00382,5,3,7,0,49
10,10,10,10,0.00241,5,3,7,0,49
10,10,10,10,0.00212,5,3,7,0,49
6,10,10,10,0.01042,5,3,7,0,49
8,8,8,8,0.0033,5,3,7,0,49
10,10,10,10,0.00274,5,3,7,0,49
10,10,10,10,0.00246,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
8,8,8,8,0.00398,5,3,7,0,49
9,10,10,10,0.00269,5,3,7,0,49
8,10,10,10,0.00283,5,3,7,0,49
10,10,10,10,0.00254,5,3,7,0,49
8,10,10,10,0.00298,5,3,7,0,49
9,10,10,10,0.00287,5,3,7,0,49
8,10,10,10,0.0047,5,3,7,0,49
8,10,10,10,0.00412,5,3,7,0,49
8,8,8,8,0.00503,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
8,8,8,8,0.00391,5,3,7,0,49
8,8,8,8,0.00487,5,3,7,0,49
8,8,8,8,0.00393,5,3,7,0,49
8,8,8,8,0.00339,5,3,7,0,49
8,10,10,10,0.00339,5,3,7,0,49
8,8,8,8,0.00442,5,3,7,0,49
6,9,9,9,0.00975,5,3,7,0,49
4,10,10,10,0.07476,5,3,7,0,49
6,10,10,10,0.00956,5,3,7,0,49
8,8,8,8,0.00382,5,3,7,0,49
6,10,10,10,0.00953,5,3,7,0,49
10,10,10,10,0.0026,5,3,7,0,49
8,10,10,10,0.00318,5,3,7,0,49
8,10,10,10,0.00412,5,3,7,0,49
9,9,9,9,0.00277,5,3,7,0,49
10,10,10,10,0.00224,5,3,7,0,49
8,8,8,8,0.00394,5,3,7,0,49
5,10,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00368,5,3,7,0,49
8,8,10,8,0.00409,5,3,7,0,49
8,8,8,8,0.00332,5,3,7,0,49
8,10,10,10,0.00335,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
2,2,2,2,0.0,5,3,7,0,49
10,10,10,10,0.00212,5,3,7,0,49
7,10,10,10,0.00538,5,3,7,0,49
8,9,9,9,0.00499,5,3,7,0,49
8,8,8,8,0.00333,5,3,7,0,49
6,10,10,10,0.01034,5,3,7,0,49
8,10,10,10,0.00388,5,3,7,0,49
8,8,8,8,0.00308,5,3,7,0,49
10,10,10,10,0.00213,5,3,7,0,49
6,10,8,8,0.01151,5,3,7,0,49
8,10,10,10,0.00316,5,3,7,0,49
8,10,10,10,0.003,5,3,7,0,49
8,10,10,10,0.00365,5,3,7,0,49
8,10,10,10,0.00456,5,3,7,0,49
7,8,8,8,0.00434,5,3,7,0,49
8,8,8,8,0.00277,5,3,7,0,49
10,10,10,10,0.00301,5,3,7,0,49
8,8,8,8,0.00322,5,3,7,0,49
8,10,10,10,0.00477,5,3,7,0,49
10,10,10,10,0.00239,5,3,7,0,49
10,10,10,10,0.00281,5,3,7,0,49
10,10,10,10,0.00295,5,3,7,0,49
8,8,8,8,0.00389,5,3,7,0,49
8,10,10,10,0.00479,5,3,7,0,49
7,7,9,7,0.0,5,3,7,0,49
8,8,8,8,0.00285,5,3,7,0,49
8,10,10,10,0.00312,5,3,7,0,49
8,8,8,8,0.0052,5,3,7,0,49
8,10,10,10,0.00395,5,3,7,0,49
10,10,10,10,0.00223,5,3,7,0,49
8,10,10,10,0.00296,5,3,7,0,49
8,10,10,10,0.0036,5,3,7,0,49
6,8,8,8,0.01117,5,3,7,0,49
10,10,10,10,0.00233,5,3,7,0,49
8,8,8,8,0.0039,5,3,7,0,49
6,10,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00276,5,3,7,0,49
6,8,6,6,0.0,5,3,7,0,49
