idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
146,2,1,12,0.00109,0.0001043466716396782,14,67,21,21.46
147,2,1,12,0.0013802831091632663,0.00011784472463921725,14,71,20,20.51
148,2,1,12,0.00121,0.00010993397952770812,14,80,14,14.66
149,2,1,12,0.00116,0.00010764134831280523,14,70,18,18.52
150,2,1,12,0.00106,0.00010290223461470062,14,74,17,17.57
151,3,1,12,0.00097,9.844129167620195e-05,14,68,17,17.51
152,3,1,12,0.00112,0.00010577129986758579,14,70,16,16.54
153,3,1,12,0.00114,0.00010671043937299999,14,75,16,16.59
154,3,1,12,0.00093,9.63921361649338e-05,14,73,18,18.55
155,3,1,12,0.004097189137684611,0.0003600033429018099,14,77,17,17.6
156,3,1,12,0.00089,9.429829225218884e-05,14,70,13,13.57
157,3,1,12,0.00113,0.0001062419120377581,14,76,22,22.54
158,3,1,12,0.00096,9.793303788200938e-05,14,73,20,20.53
159,3,1,12,0.00094,9.690850278783136e-05,14,65,18,18.47
160,3,1,12,0.00106,0.00010290223461470062,14,71,17,17.54
161,3,1,12,0.0014339865938927734,0.00012616562405815164,14,81,18,18.63
162,3,1,12,0.00116,0.00010764134831280526,14,69,20,20.49
163,3,1,12,0.0009,9.482610357859904e-05,14,74,14,14.6
164,3,1,12,0.00121,0.00010993397952770812,14,69,20,20.49
165,3,1,12,0.00114,0.00010671043937299999,14,77,17,17.6
166,3,1,12,0.0016798187358387374,0.00014777648037478763,14,77,15,15.620000000000001
167,3,1,12,0.00103,0.0001014371425807083,14,75,15,15.6
168,3,1,12,0.00106,0.00010290223461470062,14,68,15,15.53
169,3,1,12,0.00095,9.74221222859526e-05,14,73,12,12.61
170,3,1,12,0.00114,0.00010671043937299996,14,68,19,19.49
171,3,1,12,0.0011,0.00010482370857825435,14,74,21,21.53
172,3,1,12,0.00114,0.00010671043937299996,14,73,16,16.57
173,3,1,12,0.00111,0.00010529857490915431,14,69,21,21.48
174,3,1,12,0.00101,0.00010044849376172343,14,69,17,17.52
175,3,1,12,0.00115,0.00010717690921508551,14,74,18,18.56
176,3,1,12,0.00126,0.00011217954288772273,14,65,19,19.46
177,3,1,12,0.00096,9.793303788200938e-05,14,79,19,19.6
178,3,1,12,0.00105,0.00010241620912140277,14,71,19,19.52
179,3,1,12,0.00108,0.00010386743418626866,14,67,17,17.5
180,3,1,12,0.00115,0.00010717690921508551,14,72,20,20.52
181,3,1,12,0.00102,0.00010094403348875539,14,71,14,14.57
182,3,1,12,0.00126,0.00011217954288772273,14,78,24,24.54
183,3,1,12,0.00105,0.00010241620912140276,14,70,19,19.51
184,3,1,12,0.00113,0.0001062419120377581,14,73,20,20.53
185,3,1,12,0.00101,0.00010044849376172343,14,75,18,18.57
186,3,1,12,0.00125,0.0001117340585721223,14,67,18,18.49
187,3,1,12,0.00111,0.00010529857490915431,14,79,14,14.65
188,3,1,12,0.00093,9.63921361649338e-05,14,69,15,15.540000000000001
189,3,1,12,0.00108,0.00010386743418626863,14,69,19,19.5
190,3,1,12,0.00128,0.00011306521939764842,14,81,18,18.63
191,3,1,12,0.001,9.995048724743172e-05,14,73,13,13.6
192,3,1,12,0.00101,0.00010044849376172343,14,73,15,15.58
193,3,1,12,0.00091,9.535098278517732e-05,14,71,14,14.57
194,3,1,12,0.00105,0.00010241620912140277,14,72,21,21.51
195,3,1,12,0.00114,0.00010671043937299996,14,75,21,21.54
196,3,1,12,0.00095,9.74221222859526e-05,14,76,19,19.57
197,3,1,12,0.00096,9.793303788200938e-05,14,70,18,18.52
198,3,1,12,0.00107,0.00010338596561709362,14,72,14,14.58
199,3,1,12,0.00098,9.894692468661695e-05,14,73,20,20.53
200,3,1,12,0.00124,0.00011128678199803637,14,73,16,16.57
201,3,1,12,0.00112,0.00010577129986758579,14,74,23,23.51
202,3,1,12,0.00109,0.00010434667163967822,14,75,19,19.56
203,3,1,12,0.001021,3.193679036720156e-05,14,75,17,17.58
204,3,1,12,0.0013339951603896507,0.00011737396552639408,14,78,16,16.62
205,3,1,12,0.00123,0.00011083769146792301,14,74,20,20.54
206,3,1,12,0.00104,0.00010192785631454694,14,80,16,16.64
207,3,1,12,0.00126,0.00011217954288772272,14,79,17,17.62
208,3,1,12,0.0013307200330101093,0.0001170859880533819,14,68,20,20.48
209,3,1,12,0.00104,0.00010192785631454694,14,71,19,19.52
210,3,1,12,0.000945,3.072633917517542e-05,14,68,21,21.47
211,3,1,12,0.0013244897121031665,0.00011653816186405414,14,78,17,17.61
212,3,1,12,0.00127,0.00011262325621281956,14,81,17,17.64
213,3,1,12,0.00104,0.00010192785631454694,14,67,18,18.49
214,3,1,12,0.00099,9.944997688777525e-05,14,73,18,18.55
215,3,1,12,0.00103,0.0001014371425807083,14,78,22,22.56
216,3,1,12,0.00101,0.00010044849376172343,14,82,19,19.63
217,3,1,12,0.00091,9.535098278517731e-05,14,76,18,18.58
218,3,1,12,0.0011,0.00010482370857825435,14,71,17,17.54
219,3,1,12,0.00097,9.844129167620196e-05,14,79,17,17.62
220,3,1,12,0.00127,0.00011262325621281956,14,78,17,17.61
221,3,1,12,0.00095,9.74221222859526e-05,14,71,20,20.51
222,3,1,12,0.00108,0.00010386743418626863,14,70,17,17.53
223,3,1,12,0.00115,0.00010717690921508551,14,75,20,20.55
224,3,1,12,0.00103,0.0001014371425807083,14,69,18,18.51
225,3,1,12,0.00115,0.00010717690921508551,14,77,17,17.6
226,3,1,12,0.00091,9.535098278517731e-05,14,71,22,22.49
227,3,1,12,0.00098,9.894692468661695e-05,14,76,20,20.56
228,3,1,12,0.0013029644967425887,0.00011464544403461302,14,70,19,19.51
229,3,1,12,0.00112,0.00010577129986758579,14,71,14,14.57
230,3,1,12,0.00114,0.00010671043937299996,14,73,18,18.55
231,3,1,12,0.001,9.995048724743172e-05,14,79,18,18.61
232,3,1,12,0.00093,9.639213616493382e-05,14,74,17,17.57
233,3,1,12,0.00091,9.535098278517731e-05,14,71,19,19.52
234,3,1,12,0.00111,0.00010529857490915428,14,74,20,20.54
235,3,1,12,0.00089,9.429829225218885e-05,14,74,16,16.58
236,3,1,12,0.00125,0.00011173405857212229,14,74,21,21.53
237,3,1,12,0.00107,0.00010338596561709362,14,72,17,17.55
238,3,1,12,0.00117,0.00010810378283981854,14,74,18,18.56
239,3,1,12,0.00098,9.894692468661695e-05,14,84,23,23.61
240,3,1,12,0.00095,9.74221222859526e-05,14,71,17,17.54
241,3,1,12,0.00124,0.00011128678199803634,14,86,26,26.6
242,3,1,12,0.00111,0.00010529857490915431,14,67,18,18.49
243,3,1,12,0.00095,9.742212228595261e-05,14,72,17,17.55
244,3,1,12,0.00103,0.0001014371425807083,14,78,17,17.61
245,3,1,12,0.00123,0.00011083769146792301,14,76,18,18.58
246,3,1,12,0.00124,0.00011128678199803634,14,78,15,15.63
247,3,1,12,0.00113,0.0001062419120377581,14,76,24,24.52
248,3,1,12,0.00109,0.0001043466716396782,14,78,15,15.63
249,3,1,12,0.00109,0.00010434667163967822,14,75,25,25.5
250,4,1,12,0.00113,0.0001062419120377581,14,74,19,19.55
251,4,1,12,0.00093,3.0481732712167607e-05,14,72,20,20.52
252,4,1,12,0.00089,9.429829225218885e-05,14,69,21,21.48
253,4,1,12,0.00105,0.00010241620912140277,14,70,21,21.49
254,4,1,12,0.00118,0.00010856423841182056,14,72,18,18.54
255,4,1,12,0.0011,0.00010482370857825435,14,74,23,23.51
256,4,1,12,0.000936,3.057981097267998e-05,14,70,22,22.48
257,4,1,12,0.00094,9.690850278783136e-05,14,72,20,20.52
258,4,1,12,0.00115,0.00010717690921508551,14,73,20,20.53
259,4,1,12,0.00105,0.00010241620912140277,14,69,19,19.5
260,4,1,12,0.00092,9.58729780296782e-05,14,68,21,21.47
261,4,1,12,0.00115,0.00010717690921508551,14,76,22,22.54
262,4,1,12,0.00096,9.793303788200938e-05,14,71,20,20.51
263,4,1,12,0.00106,0.00010290223461470062,14,69,17,17.52
264,4,1,12,0.00086,9.269676330325277e-05,14,72,21,21.51
265,4,1,12,0.00088,9.376749929180812e-05,14,71,19,19.52
266,4,1,12,0.00098,9.894692468661695e-05,14,73,18,18.55
267,4,1,12,0.00105,0.00010241620912140277,14,68,22,22.46
268,4,1,12,0.00104,0.00010192785631454694,14,70,21,21.49
269,4,1,12,0.00079,8.88472731060407e-05,14,69,21,21.48
270,4,1,12,0.0009,9.482610357859904e-05,14,67,23,23.44
271,4,1,12,0.00105,0.00010241620912140277,14,75,21,21.54
272,4,1,12,0.00092,9.587297802967819e-05,14,71,20,20.51
273,4,1,12,0.00113,0.0001062419120377581,14,69,21,21.48
274,4,1,12,0.00106,0.00010290223461470062,14,71,23,23.48
275,4,1,12,0.00086,9.269676330325277e-05,14,69,22,22.47
276,4,1,12,0.00111,0.00010529857490915428,14,69,23,23.46
277,4,1,12,0.00112,0.00010577129986758579,14,72,20,20.52
278,4,1,12,0.00113,0.0001062419120377581,14,78,22,22.56
279,4,1,12,0.00104,0.00010192785631454691,14,75,24,24.51
280,4,1,12,0.00103,0.0001014371425807083,14,68,17,17.51
281,4,1,12,0.0013093013188043123,0.00011750235154784445,14,64,24,24.4
282,4,1,12,0.00081,8.996399243697085e-05,14,68,21,21.47
283,4,1,12,0.00106,0.00010290223461470062,14,68,21,21.47
284,4,1,12,0.00098,9.894692468661695e-05,14,70,19,19.51
285,4,1,12,0.00091,9.535098278517732e-05,14,72,20,20.52
286,4,1,12,0.00092,9.587297802967819e-05,14,67,28,28.39
287,4,1,12,0.00082,9.051716927511229e-05,14,70,18,18.52
288,4,1,12,0.00101,0.00010044849376172343,14,69,20,20.49
289,4,1,12,0.0009,9.482610357859904e-05,14,68,25,25.43
290,4,1,12,0.00112,0.00010577129986758579,14,74,20,20.54
291,4,1,12,0.00109,0.00010434667163967822,14,74,21,21.53
292,4,1,12,0.00088,9.37674992918081e-05,14,72,20,20.52
293,4,1,12,0.00094,9.690850278783138e-05,14,75,17,17.58
294,4,1,12,0.00093,9.63921361649338e-05,14,66,22,22.44
295,4,1,12,0.00107,0.00010338596561709365,14,70,19,19.51
296,4,1,12,0.00088,9.37674992918081e-05,14,66,22,22.44
297,4,1,12,0.00104,0.00010192785631454694,14,72,20,20.52
298,4,1,12,0.00093,9.63921361649338e-05,14,73,21,21.52
299,4,1,12,0.0013540961408259986,0.00012151972878211997,14,71,21,21.5
300,4,1,12,0.00096,9.793303788200938e-05,14,76,19,19.57
301,4,1,12,0.00105,0.00010241620912140276,14,70,22,22.48
302,4,1,12,0.0012,0.00010947931246221165,14,74,19,19.55
303,4,1,12,0.00097,9.844129167620195e-05,14,73,14,14.59
304,4,1,12,0.00111,0.00010529857490915431,14,74,17,17.57
305,4,1,12,0.00112,0.00010577129986758579,14,83,20,20.63
306,4,1,12,0.0008,8.940738189209751e-05,14,72,22,22.5
307,4,1,12,0.00099,9.944997688777525e-05,14,72,22,22.5
308,4,1,12,0.00094,9.690850278783136e-05,14,77,18,18.59
309,4,1,12,0.00106,0.00010290223461470062,14,83,18,18.65
310,4,1,12,0.0011,0.00010482370857825438,14,75,16,16.59
311,4,1,12,0.00091,9.535098278517732e-05,14,81,16,16.65
312,4,1,12,0.00105,0.00010241620912140276,14,70,20,20.5
313,4,1,12,0.00099,9.944997688777525e-05,14,78,16,16.62
314,4,1,12,0.00108,0.00010386743418626863,14,70,16,16.54
315,4,1,12,0.00114,0.00010671043937299999,14,75,18,18.57
316,4,1,12,0.00098,9.894692468661695e-05,14,83,13,13.7
317,4,1,12,0.00107,0.00010338596561709362,14,77,20,20.57
318,4,1,12,0.00121,0.00010993397952770812,14,77,18,18.59
319,4,1,12,0.00103,0.0001014371425807083,14,73,18,18.55
320,4,1,12,0.00105,0.00010241620912140277,14,77,13,13.64
321,4,1,12,0.0011,0.00010482370857825438,14,81,19,19.62
322,4,1,12,0.00106,0.0001029022346147006,14,78,16,16.62
323,4,1,12,0.0014265827590570748,0.00012802023704859626,14,71,15,15.56
324,4,1,12,0.00099,9.944997688777525e-05,14,73,15,15.58
325,4,1,12,0.00106,0.00010290223461470062,14,72,15,15.57
326,4,1,12,0.00103,0.0001014371425807083,14,75,18,18.57
327,4,1,12,0.00091,9.535098278517732e-05,14,72,17,17.55
328,4,1,12,0.00097,9.844129167620196e-05,14,72,16,16.56
329,4,1,12,0.00092,9.587297802967818e-05,14,75,17,17.58
330,4,1,12,0.00105,0.00010241620912140277,14,77,22,22.55
