idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
200,1112,1,8,0.00438,0.0002088267034790351,10,19,2,5.784088999999999
201,1118,1,8,0.00467,0.00021559771757548418,10,20,1,4.78873
202,1130,1,8,0.00465,0.00021513771831638086,10,19,2,5.784088999999999
203,1142,1,8,0.00581,0.00024033937802650295,10,19,4,7.172749
204,1145,1,8,0.00463,0.00021467671476179848,10,19,2,5.784088999999999
205,1150,1,8,0.00445,0.00021048139590990042,10,19,2,5.784088999999999
206,1164,1,8,0.00495,0.00022193572843207452,10,20,3,6.5652599999999985
207,1166,1,8,0.00402,0.00020009696746318734,10,19,2,5.784088999999999
208,1171,1,8,0.00424,0.00020547663177710026,10,19,2,5.784088999999999
209,1173,1,8,0.00453,0.0002123564031349644,10,19,2,5.784088999999999
210,1177,1,8,0.0042,0.00020450921309364626,10,19,2,5.784088999999999
211,1199,1,8,0.00623,0.0002488222058516909,10,18,6,9.099518999999997
212,1204,1,8,0.00465,0.00021513771831638086,10,17,3,6.53766
213,1206,1,8,0.00475,0.00021742779893214545,10,19,2,5.784088999999999
214,1210,1,8,0.00472,0.00021674336385886826,10,17,3,6.363759
215,1212,1,8,0.00526,0.00022874406492513053,10,20,3,6.5652599999999985
216,1219,1,8,0.00462,0.00021444583435021233,10,19,2,5.784088999999999
217,1224,1,8,0.0051,0.00022525631490387578,10,20,4,7.467888999999999
218,1227,1,8,0.00427,0.0002061991662955062,10,19,2,5.784088999999999
219,1246,1,8,0.00442,0.0002097738688463377,10,17,3,5.77326
220,1249,1,8,0.00447,0.00021095173857155113,10,19,2,5.784088999999999
221,1251,1,8,0.00479,0.0002183369774233332,10,19,2,5.784088999999999
222,1254,1,8,0.00436,0.00020835147732469053,10,19,2,5.784088999999999
223,1256,1,8,0.00435,0.00020811345009893312,10,19,2,5.784088999999999
